Data;Selic;Dolar_Venda;IPCA_Mensal
2022-01-01;;;0,54
2022-01-02;;;
2022-01-03;9,15;5,6309;
2022-01-04;9,15;5,6776;
2022-01-05;9,15;5,6628;
2022-01-06;9,15;5,7042;
2022-01-07;9,15;5,6753;
2022-01-08;;;
2022-01-09;;;
2022-01-10;9,15;5,6736;
2022-01-11;9,15;5,6351;
2022-01-12;9,15;5,5611;
2022-01-13;9,15;5,5246;
2022-01-14;9,15;5,5349;
2022-01-15;;;
2022-01-16;;;
2022-01-17;9,15;5,5058;
2022-01-18;9,15;5,5213;
2022-01-19;9,15;5,4978;
2022-01-20;9,15;5,4166;
2022-01-21;9,15;5,4401;
2022-01-22;;;
2022-01-23;;;
2022-01-24;9,15;5,491;
2022-01-25;9,15;5,4971;
2022-01-26;9,15;5,4324;
2022-01-27;9,15;5,3812;
2022-01-28;9,15;5,3954;
2022-01-29;;;
2022-01-30;;;
2022-01-31;9,15;5,3574;
2022-02-01;9,15;5,281;1,01
2022-02-02;9,15;5,2956;
2022-02-03;10,65;5,3025;
2022-02-04;10,65;5,3284;
2022-02-05;;;
2022-02-06;;;
2022-02-07;10,65;5,2913;
2022-02-08;10,65;5,2699;
2022-02-09;10,65;5,2735;
2022-02-10;10,65;5,2101;
2022-02-11;10,65;5,1987;
2022-02-12;;;
2022-02-13;;;
2022-02-14;10,65;5,2106;
2022-02-15;10,65;5,1881;
2022-02-16;10,65;5,163;
2022-02-17;10,65;5,1565;
2022-02-18;10,65;5,1339;
2022-02-19;;;
2022-02-20;;;
2022-02-21;10,65;5,0997;
2022-02-22;10,65;5,0611;
2022-02-23;10,65;5,0143;
2022-02-24;10,65;5,1174;
2022-02-25;10,65;5,1394;
2022-02-26;;;
2022-02-27;;;
2022-02-28;;;
2022-03-01;;;1,62
2022-03-02;10,65;5,1347;
2022-03-03;10,65;5,0479;
2022-03-04;10,65;5,0758;
2022-03-05;;;
2022-03-06;;;
2022-03-07;10,65;5,0579;
2022-03-08;10,65;5,0903;
2022-03-09;10,65;5,0094;
2022-03-10;10,65;5,0513;
2022-03-11;10,65;5,0255;
2022-03-12;;;
2022-03-13;;;
2022-03-14;10,65;5,0647;
2022-03-15;10,65;5,1314;
2022-03-16;10,65;5,1287;
2022-03-17;11,65;5,0764;
2022-03-18;11,65;5,0411;
2022-03-19;;;
2022-03-20;;;
2022-03-21;11,65;4,9666;
2022-03-22;11,65;4,9208;
2022-03-23;11,65;4,8704;
2022-03-24;11,65;4,8067;
2022-03-25;11,65;4,7782;
2022-03-26;;;
2022-03-27;;;
2022-03-28;11,65;4,7905;
2022-03-29;11,65;4,7486;
2022-03-30;11,65;4,7497;
2022-03-31;11,65;4,7378;
2022-04-01;11,65;4,6984;1,06
2022-04-02;;;
2022-04-03;;;
2022-04-04;11,65;4,6175;
2022-04-05;11,65;4,64;
2022-04-06;11,65;4,6967;
2022-04-07;11,65;4,7422;
2022-04-08;11,65;4,7513;
2022-04-09;;;
2022-04-10;;;
2022-04-11;11,65;4,7025;
2022-04-12;11,65;4,6483;
2022-04-13;11,65;4,6811;
2022-04-14;11,65;4,7158;
2022-04-15;;;
2022-04-16;;;
2022-04-17;;;
2022-04-18;11,65;4,6746;
2022-04-19;11,65;4,6664;
2022-04-20;11,65;4,6397;
2022-04-21;;;
2022-04-22;11,65;4,7326;
2022-04-23;;;
2022-04-24;;;
2022-04-25;11,65;4,8818;
2022-04-26;11,65;4,9666;
2022-04-27;11,65;5,0167;
2022-04-28;11,65;5,011;
2022-04-29;11,65;4,9191;
2022-04-30;;;
2022-05-01;;;0,47
2022-05-02;11,65;5,0266;
2022-05-03;11,65;5,0167;
2022-05-04;11,65;5,0093;
2022-05-05;12,65;5,0051;
2022-05-06;12,65;5,075;
2022-05-07;;;
2022-05-08;;;
2022-05-09;12,65;5,134;
2022-05-10;12,65;5,139;
2022-05-11;12,65;5,1244;
2022-05-12;12,65;5,1482;
2022-05-13;12,65;5,1075;
2022-05-14;;;
2022-05-15;;;
2022-05-16;12,65;5,0666;
2022-05-17;12,65;4,9676;
2022-05-18;12,65;4,9592;
2022-05-19;12,65;4,9198;
2022-05-20;12,65;4,8777;
2022-05-21;;;
2022-05-22;;;
2022-05-23;12,65;4,7973;
2022-05-24;12,65;4,8106;
2022-05-25;12,65;4,8359;
2022-05-26;12,65;4,7967;
2022-05-27;12,65;4,7434;
2022-05-28;;;
2022-05-29;;;
2022-05-30;12,65;4,7216;
2022-05-31;12,65;4,7289;
2022-06-01;12,65;4,7765;0,67
2022-06-02;12,65;4,7879;
2022-06-03;12,65;4,7956;
2022-06-04;;;
2022-06-05;;;
2022-06-06;12,65;4,7839;
2022-06-07;12,65;4,8909;
2022-06-08;12,65;4,8711;
2022-06-09;12,65;4,8951;
2022-06-10;12,65;4,9836;
2022-06-11;;;
2022-06-12;;;
2022-06-13;12,65;5,1033;
2022-06-14;12,65;5,1203;
2022-06-15;12,65;5,1119;
2022-06-16;;;
2022-06-17;13,15;5,1313;
2022-06-18;;;
2022-06-19;;;
2022-06-20;13,15;5,1641;
2022-06-21;13,15;5,1462;
2022-06-22;13,15;5,1509;
2022-06-23;13,15;5,1833;
2022-06-24;13,15;5,2334;
2022-06-25;;;
2022-06-26;;;
2022-06-27;13,15;5,2214;
2022-06-28;13,15;5,2179;
2022-06-29;13,15;5,2268;
2022-06-30;13,15;5,238;
2022-07-01;13,15;5,3142;-0,68
2022-07-02;;;
2022-07-03;;;
2022-07-04;13,15;5,3038;
2022-07-05;13,15;5,3899;
2022-07-06;13,15;5,4321;
2022-07-07;13,15;5,364;
2022-07-08;13,15;5,3086;
2022-07-09;;;
2022-07-10;;;
2022-07-11;13,15;5,3477;
2022-07-12;13,15;5,412;
2022-07-13;13,15;5,3992;
2022-07-14;13,15;5,4568;
2022-07-15;13,15;5,4014;
2022-07-16;;;
2022-07-17;;;
2022-07-18;13,15;5,3675;
2022-07-19;13,15;5,3904;
2022-07-20;13,15;5,4288;
2022-07-21;13,15;5,475;
2022-07-22;13,15;5,4522;
2022-07-23;;;
2022-07-24;;;
2022-07-25;13,15;5,4144;
2022-07-26;13,15;5,3608;
2022-07-27;13,15;5,3074;
2022-07-28;13,15;5,2149;
2022-07-29;13,15;5,1884;
2022-07-30;;;
2022-07-31;;;
2022-08-01;13,15;5,1606;-0,36
2022-08-02;13,15;5,2329;
2022-08-03;13,15;5,2846;
2022-08-04;13,65;5,2409;
2022-08-05;13,65;5,2165;
2022-08-06;;;
2022-08-07;;;
2022-08-08;13,65;5,1247;
2022-08-09;13,65;5,1224;
2022-08-10;13,65;5,0497;
2022-08-11;13,65;5,1127;
2022-08-12;13,65;5,1023;
2022-08-13;;;
2022-08-14;;;
2022-08-15;13,65;5,0925;
2022-08-16;13,65;5,134;
2022-08-17;13,65;5,1784;
2022-08-18;13,65;5,1773;
2022-08-19;13,65;5,1961;
2022-08-20;;;
2022-08-21;;;
2022-08-22;13,65;5,1709;
2022-08-23;13,65;5,103;
2022-08-24;13,65;5,105;
2022-08-25;13,65;5,1173;
2022-08-26;13,65;5,0903;
2022-08-27;;;
2022-08-28;;;
2022-08-29;13,65;5,0428;
2022-08-30;13,65;5,0617;
2022-08-31;13,65;5,179;
2022-09-01;13,65;5,2007;-0,29
2022-09-02;13,65;5,1878;
2022-09-03;;;
2022-09-04;;;
2022-09-05;13,65;5,1686;
2022-09-06;13,65;5,2228;
2022-09-07;;;
2022-09-08;13,65;5,2155;
2022-09-09;13,65;5,1633;
2022-09-10;;;
2022-09-11;;;
2022-09-12;13,65;5,1183;
2022-09-13;13,65;5,1794;
2022-09-14;13,65;5,1774;
2022-09-15;13,65;5,2211;
2022-09-16;13,65;5,2882;
2022-09-17;;;
2022-09-18;;;
2022-09-19;13,65;5,2367;
2022-09-20;13,65;5,1705;
2022-09-21;13,65;5,1692;
2022-09-22;13,65;5,1677;
2022-09-23;13,65;5,2257;
2022-09-24;;;
2022-09-25;;;
2022-09-26;13,65;5,3548;
2022-09-27;13,65;5,3508;
2022-09-28;13,65;5,3594;
2022-09-29;13,65;5,3916;
2022-09-30;13,65;5,4066;
2022-10-01;;;0,59
2022-10-02;;;
2022-10-03;13,65;5,2002;
2022-10-04;13,65;5,1411;
2022-10-05;13,65;5,2144;
2022-10-06;13,65;5,2009;
2022-10-07;13,65;5,2221;
2022-10-08;;;
2022-10-09;;;
2022-10-10;13,65;5,1941;
2022-10-11;13,65;5,2068;
2022-10-12;;;
2022-10-13;13,65;5,3017;
2022-10-14;13,65;5,2824;
2022-10-15;;;
2022-10-16;;;
2022-10-17;13,65;5,2713;
2022-10-18;13,65;5,2697;
2022-10-19;13,65;5,2808;
2022-10-20;13,65;5,2176;
2022-10-21;13,65;5,1919;
